,dishId,userId,rating
0,998,9974,5
1,998,10340,5
2,998,12047,5
3,998,13451,5
4,998,9974,5
5,998,10340,5
6,998,12047,5
7,998,13451,5
8,998,18226,5
9,998,18226,5
10,998,209,5
11,998,209,5
12,998,2576,5
13,998,2576,5
14,743,14563,5
15,743,14563,5
16,743,6918,4
17,743,6918,4
18,743,7463,4
19,743,7463,4
20,743,15755,3
21,743,15755,3
22,743,13712,5
23,743,13712,5
24,745,5169,1
25,745,5169,1
26,745,342,5
27,745,342,5
28,1009,11719,5
29,1009,11719,5
30,257,16015,3
31,257,19390,4
32,257,16015,3
33,257,19390,4
34,257,10515,5
35,257,17230,5
36,257,10515,5
37,257,17230,5
38,257,14165,5
39,257,14165,5
40,257,6355,5
41,257,6355,5
42,257,4592,5
43,257,4592,5
44,257,6918,4
45,59,4578,4
46,59,4578,4
47,59,6748,5
48,59,6748,5
49,59,17963,4
50,59,5953,5
51,59,17963,4
52,59,5953,5
53,59,14331,4
54,59,999,4
55,59,14331,4
56,59,999,4
57,59,20110,4
58,59,20110,4
59,59,11719,5
60,59,11719,5
61,59,19167,5
62,59,19167,5
63,59,18639,5
64,59,9156,5
65,59,18639,5
66,59,9156,5
67,749,14944,5
68,749,14944,5
69,749,6748,5
70,749,6748,5
71,397,9609,4
72,397,9609,4
73,397,18467,5
74,397,18467,5
75,397,11332,5
76,397,13889,4
77,397,7476,5
78,397,11332,5
79,397,13889,4
80,397,7476,5
81,1157,115,5
82,1157,115,5
83,1157,16979,3
84,1157,16979,3
85,153,9132,5
86,153,9132,5
87,153,18485,5
88,153,18485,5
89,153,13025,4
90,153,13025,4
91,153,3398,5
92,153,3398,5
93,758,11956,5
94,758,18132,5
95,758,14435,5
96,758,8153,5
97,758,19988,5
98,758,7975,1
99,758,225,5
100,758,12575,5
101,758,417,5
102,758,11956,5
103,758,18132,5
104,758,14435,5
105,758,8153,5
106,758,19988,5
107,758,7975,1
108,758,225,5
109,758,12575,5
110,758,417,5
111,758,16187,5
112,758,15446,5
113,758,8811,5
114,758,435,5
115,758,3900,5
116,758,13544,3
117,758,11767,5
118,758,14502,5
119,758,8388,5
120,758,10037,5
121,758,10612,5
122,758,15462,5
123,758,1127,5
124,758,9843,4
125,758,7541,5
126,758,15933,5
127,758,7117,4
128,758,1208,5
129,758,4499,5
130,758,15792,5
131,758,6545,4
132,758,15887,5
133,758,16245,5
134,758,18226,5
135,758,14240,4
136,758,20383,5
137,758,1977,5
138,758,19035,4
139,758,8887,3
140,758,7502,4
141,758,16187,5
142,758,15446,5
143,758,8811,5
144,758,435,5
145,758,3900,5
146,758,13544,3
147,758,11767,5
148,758,14502,5
149,758,8388,5
150,758,10037,5
151,758,10612,5
152,758,15462,5
153,758,1127,5
154,758,9843,4
155,758,7541,5
156,758,15933,5
157,758,7117,4
158,758,1208,5
159,758,4499,5
160,758,15792,5
161,758,6545,4
162,758,15887,5
163,758,16245,5
164,758,18226,5
165,758,14240,4
166,758,20383,5
167,758,1977,5
168,758,19035,4
169,758,8887,3
170,758,7502,4
171,758,1527,5
172,758,14250,5
173,758,19052,5
174,758,9710,5
175,758,5646,5
176,758,20656,5
177,758,8266,5
178,758,11469,5
179,758,12079,5
180,758,11321,5
181,758,8864,5
182,758,9472,5
183,758,19482,5
184,758,18000,4
185,758,18690,5
186,758,18225,5
187,758,20053,4
188,758,5033,5
189,758,18413,4
190,758,1031,5
191,758,15612,5
192,758,11192,5
193,758,5243,5
194,758,8241,5
195,758,1527,5
196,758,14250,5
197,758,19052,5
198,758,9710,5
199,758,5646,5
200,758,20656,5
201,758,8266,5
202,758,11469,5
203,758,12079,5
204,758,11321,5
205,758,8864,5
206,758,9472,5
207,758,19482,5
208,758,18000,4
209,758,18690,5
210,758,18225,5
211,758,20053,4
212,758,5033,5
213,758,18413,4
214,758,1031,5
215,758,15612,5
216,758,11192,5
217,758,5243,5
218,758,8241,5
219,758,4388,4
220,758,17119,5
221,758,1801,4
222,758,9533,4
223,758,3522,4
224,758,17973,5
225,758,12566,4
226,758,5226,4
227,758,2469,5
228,758,3218,5
229,758,4388,4
230,758,17119,5
231,758,1801,4
232,758,9533,4
233,758,3522,4
234,758,17973,5
235,758,12566,4
236,758,5226,4
237,758,2469,5
238,758,3218,5
239,758,8621,5
240,758,10609,5
241,758,2739,5
242,758,17610,5
243,758,1073,4
244,758,9225,5
245,758,5816,5
246,758,7050,5
247,758,15792,5
248,758,14891,4
249,758,4108,5
250,758,16073,5
251,758,7107,5
252,758,9196,4
253,758,9159,5
254,758,12489,5
255,758,7083,5
256,758,15956,5
257,758,17170,5
258,758,16276,5
259,758,2851,5
260,758,8621,5
261,758,10609,5
262,758,2739,5
263,758,17610,5
264,758,1073,4
265,758,9225,5
266,758,5816,5
267,758,7050,5
268,758,15792,5
269,758,14891,4
270,758,4108,5
271,758,16073,5
272,758,7107,5
273,758,9196,4
274,758,9159,5
275,758,12489,5
276,758,7083,5
277,758,15956,5
278,758,17170,5
279,758,16276,5
280,758,2851,5
281,758,17318,5
282,758,8785,4
283,758,17318,5
284,758,8785,4
285,758,1369,4
286,758,1369,4
287,758,17780,5
288,758,13636,5
289,758,11688,4
290,758,3345,5
291,758,952,5
292,758,17780,5
293,758,13636,5
294,758,11688,4
295,758,3345,5
296,758,952,5
297,758,14763,4
298,758,19767,5
299,758,15517,5
300,758,19094,5
301,758,14763,4
302,758,19767,5
303,758,15517,5
304,758,19094,5
305,758,10126,5
306,758,10126,5
307,758,11336,5
308,758,10592,5
309,758,3458,3
310,758,11336,5
311,758,10592,5
312,758,3458,3
313,758,14607,5
314,758,14607,5
315,758,2190,4
316,758,12353,5
317,758,14551,5
318,758,13315,5
319,758,2190,4
320,758,12353,5
321,758,14551,5
322,758,13315,5
323,758,8961,5
324,758,8961,5
325,758,18887,5
326,758,5279,5
327,758,17940,4
328,758,18887,5
329,758,5279,5
330,758,17940,4
331,758,12676,5
332,758,3696,5
333,758,12563,5
334,758,7327,5
335,758,12676,5
336,758,3696,5
337,758,12563,5
338,758,7327,5
339,758,17359,5
340,758,17359,5
341,758,1607,4
342,758,1607,4
343,758,5802,5
344,758,5802,5
345,758,2052,3
346,758,8306,2
347,758,384,5
348,758,4997,5
349,758,2052,3
350,758,8306,2
351,758,384,5
352,758,4997,5
353,758,5618,5
354,758,13953,5
355,758,5418,5
356,758,4427,5
357,758,4949,5
358,758,5618,5
359,758,13953,5
360,758,5418,5
361,758,4427,5
362,758,4949,5
363,758,10313,5
364,758,10313,5
365,758,3004,5
366,758,20060,5
367,758,3004,5
368,758,20060,5
369,758,20984,5
370,758,17611,5
371,758,10666,4
372,758,12864,5
373,758,9736,5
374,758,8625,5
375,758,16467,5
376,758,3107,5
377,758,8932,4
378,758,826,4
379,758,20984,5
380,758,17611,5
381,758,10666,4
382,758,12864,5
383,758,9736,5
384,758,8625,5
385,758,16467,5
386,758,3107,5
387,758,8932,4
388,758,826,4
389,758,4637,4
390,758,4637,4
391,758,865,5
392,758,8501,5
393,758,865,5
394,758,8501,5
395,74,12607,5
396,74,20689,4
397,74,12607,5
398,74,20689,4
399,74,20471,5
400,74,11254,5
401,74,659,1
402,74,18151,4
403,74,2701,4
404,74,299,5
405,74,3562,5
406,74,2125,5
407,74,9254,5
408,74,2894,5
409,74,4212,3
410,74,8318,2
411,74,15612,5
412,74,8691,5
413,74,15367,5
414,74,10165,5
415,74,6022,5
416,74,9685,5
417,74,19017,5
418,74,4731,5
419,74,18252,5
420,74,12224,5
421,74,3294,5
422,74,17911,5
423,74,9057,5
424,74,19420,5
425,74,18045,4
426,74,8387,5
427,74,4854,5
428,74,20471,5
429,74,11254,5
430,74,659,1
431,74,18151,4
432,74,2701,4
433,74,299,5
434,74,3562,5
435,74,2125,5
436,74,9254,5
437,74,2894,5
438,74,4212,3
439,74,8318,2
440,74,15612,5
441,74,8691,5
442,74,15367,5
443,74,10165,5
444,74,6022,5
445,74,9685,5
446,74,19017,5
447,74,4731,5
448,74,18252,5
449,74,12224,5
450,74,3294,5
451,74,17911,5
452,74,9057,5
453,74,19420,5
454,74,18045,4
455,74,8387,5
456,74,4854,5
457,74,15302,5
458,74,16771,5
459,74,2059,5
460,74,8571,3
461,74,4934,5
462,74,16449,1
463,74,4651,2
464,74,8628,4
465,74,16634,5
466,74,16847,3
467,74,16738,5
468,74,15302,5
469,74,16771,5
470,74,2059,5
471,74,8571,3
472,74,4934,5
473,74,16449,1
474,74,4651,2
475,74,8628,4
476,74,16634,5
477,74,16847,3
478,74,16738,5
479,74,14005,5
480,74,6554,5
481,74,20025,5
482,74,11766,5
483,74,17230,4
484,74,9514,4
485,74,14005,5
486,74,6554,5
487,74,20025,5
488,74,11766,5
489,74,17230,4
490,74,9514,4
491,74,8243,4
492,74,8243,4
493,74,620,4
494,74,10116,4
495,74,620,4
496,74,10116,4
497,74,15979,3
498,74,15979,3
499,74,2838,4
500,74,2838,4
501,74,18045,4
502,74,15682,5
503,74,18204,4
504,74,18045,4
505,74,15682,5
506,74,18204,4
507,74,2258,5
508,74,2258,5
509,74,17636,5
510,74,1372,5
511,74,11017,5
512,74,17636,5
513,74,1372,5
514,74,11017,5
515,74,12450,5
516,74,12450,5
517,74,19046,4
518,74,19046,4
519,74,16769,4
520,74,17343,1
521,74,16769,4
522,74,17343,1
523,803,16664,5
524,803,16664,5
525,803,13510,5
526,761,11824,5
527,761,17203,4
528,761,987,5
529,761,17910,5
530,761,10513,5
531,761,18036,5
532,761,18218,4
533,761,16920,5
534,761,9719,5
535,761,19133,4
536,761,9551,2
537,761,17891,5
538,761,6808,5
539,761,12502,4
540,761,2392,3
541,761,13823,5
542,761,11824,5
543,761,17203,4
544,761,987,5
545,761,17910,5
546,761,10513,5
547,761,18036,5
548,761,18218,4
549,761,16920,5
550,761,9719,5
551,761,19133,4
552,761,9551,2
553,761,17891,5
554,761,6808,5
555,761,12502,4
556,761,2392,3
557,761,13823,5
558,761,5127,5
559,761,17389,1
560,761,5127,5
561,761,17389,1
562,761,4703,4
563,761,1146,5
564,761,8950,4
565,761,12401,5
566,761,13069,3
567,761,10063,5
568,761,9785,5
569,761,16899,5
570,761,18017,4
571,761,16711,5
572,761,10937,5
573,761,2728,5
574,761,13503,5
575,761,19079,5
576,761,7852,5
577,761,19175,4
578,761,3306,4
579,761,9254,5
580,761,3702,5
581,761,15377,5
582,761,4529,5
583,761,10254,5
584,761,1245,5
585,761,7261,5
586,761,8725,5
587,761,17368,5
588,761,2207,4
589,761,1961,5
590,761,17485,3
591,761,1495,5
592,761,4703,4
593,761,1146,5
594,761,8950,4
595,761,12401,5
596,761,13069,3
597,761,10063,5
598,761,9785,5
599,761,16899,5
600,761,18017,4
601,761,16711,5
602,761,10937,5
603,761,2728,5
604,761,13503,5
605,761,19079,5
606,761,7852,5
607,761,19175,4
608,761,3306,4
609,761,9254,5
610,761,3702,5
611,761,15377,5
612,761,4529,5
613,761,10254,5
614,761,1245,5
615,761,7261,5
616,761,8725,5
617,761,17368,5
618,761,2207,4
619,761,1961,5
620,761,17485,3
